,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
405,64188-16,Индикаторы,,ИЧ 05 КТ1,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-07-09T00:00:00Z,2016-64188-16.pdf
406,64199-16,Тепловычислители,,944,СПТ944,,,"АО ""НПФ ""Логика"", г.С.-Петербург",2021-07-13T00:00:00Z,2016-64199-16-2.pdf
407,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ 90-3М5,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-07-18T00:00:00Z,2008-27361-04.pdf
408,59942-15,Газоанализаторы стационарные оптические,,СГОЭС-2-метан,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-07-20T00:00:00Z,2019-59942-15.pdf
409,48026-11,Весы лабораторные,,Масса ВК 300.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-07-21T00:00:00Z,2021-48026-11.pdf
410,54895-13,Машины для испытаний,,СВК-15Г,ИП-1А,,,"ООО ""Внедрение Научно-Исследовательских Разработок - производство"", г.Москва",2021-07-22T00:00:00Z,2013-54895-13.pdf
411,39835-08,Измерители-регуляторы микропроцессорные,,ТРМ148,ТРМ148,,,"ООО ""ПО ""ОВЕН"", г.Москва",2021-07-26T00:00:00Z,2019-39835-08.pdf
412,59942-15,Газоанализаторы стационарные оптические,,СГОЭС-2 ИЗОПРОПАНОЛ,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-07-29T00:00:00Z,2019-59942-15.pdf
413,57788-14,Источники питания постоянного тока,,N8954A,N8900,,,"Фирма ""Agilent Technologies"", Малайзия",2021-08-02T00:00:00Z,2014-57788-14-1.pdf
414,67164-17,Вычислители количества теплоты,,ВКТ-7М,ВКТ-7М,,,"ООО ""ИВТ"", г.С.-Петербург",2021-08-04T00:00:00Z,2017-67164-17-1.pdf
415,70742-18,Шаблоны сварщика универсальные,,УШС,УШС-3,,,"ООО НТЦ ""Эксперт"", г.Москва",2021-08-04T00:00:00Z,2018-70742-18.pdf
416,48026-11,Весы лабораторные,,ВК,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-08-05T00:00:00Z,2021-48026-11.pdf
417,69578-17,Термометры технические жидкостные,,ТТЖ-Х,ТТЖ,,,"ООО ПФ ""Шатлыгин и Ко"", г.Белгород",2021-08-09T00:00:00Z,2021-69578-17.pdf
418,61911-15,Корректоры газа потоковые,,ЕК280,"ЕК280, ЕК290",,,"ООО ""Эльстер Газэлектроника"", г.Арзамас",2021-08-09T00:00:00Z,2020-61911-15-1.pdf
419,36028-07,Счетчики активной энергии переменного тока статические однофазные,,нет модификации,АРБИТР,,,"ООО ""НПО ""Сенсор"", г.Саратов",2021-08-12T00:00:00Z,2008-36028-07.pdf
420,61911-15,Корректоры газа потоковые,,EK290,"ЕК280, ЕК290",,,"ООО ""Эльстер Газэлектроника"", г.Арзамас",2021-08-12T00:00:00Z,2020-61911-15-1.pdf
421,43802-10,Пробники токовые,,TCP0150,"TCP0030, TCP0150",,,"Компания ""Tektronix, Inc."", США",2021-08-12T00:00:00Z,2010-43802-10.pdf
422,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ90-2/10,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-08-13T00:00:00Z,2008-27361-04.pdf
423,48026-11,Весы лабораторные,,BK-300,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-08-13T00:00:00Z,2021-48026-11.pdf
424,42941-09,Измерители влажности и температуры,,Нет модификации,HMP155,,,"Фирма ""Vaisala Oyj"", Финляндия",2021-08-17T00:00:00Z,2020-42941-09.pdf
425,32358-11,Амперметры и вольтметры цифровые щитовые,,исп. СВ3020,3020,,,"ООО предприятие ""ЗИП-Научприбор"", г.Краснодар",2021-08-18T00:00:00Z,2016-32358-11.pdf
426,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СВК3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-08-21T00:00:00Z,2008-27361-04.pdf
427,52080-12,Осциллографы цифровые,,DPO 2024B,"DPO2002B, DPO2012B, DPO2022B, DPO2004B, DPO2014B, DPO2024B, MSO2002B, MSO2012B, MSO2022B, MSO2004B, MSO2014B, MSO2024B",,,"Компания ""Tektronix (China) Co., Ltd."", Китай",2021-08-23T00:00:00Z,2017-52080-12.pdf
428,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ 90,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-08-23T00:00:00Z,2008-27361-04.pdf
429,59942-15,Газоанализаторы стационарные оптические,,СГОЭС-М11-2 (пропан),"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-08-23T00:00:00Z,2019-59942-15.pdf
430,71339-18,Приборы для измерения артериального давления и частоты пульса,,PRO-35,"А-21, А-23, PRO-30, PRO-33, PRO-35, PRO-36, MED-51, MED-53, MED-55, А-27, PRO-39, MED-57, MED-59",,,"Фирма ""B.Well Swiss AG"", Швейцария; Фирма ""Globalcare Medical Technology Co., Ltd."", Китай",2021-08-23T00:00:00Z,2019-71339-18.pdf
431,26510-09,Трансформаторы тока,,IОSK 550,IOSK 123/245/362/550,,,"Фирма ""Trench France SAS"", Франция",2021-08-25T00:00:00Z,2015-26510-09.pdf
432,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,сквг90-3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-08-26T00:00:00Z,2008-27361-04.pdf
433,32475-11,Термометры биметаллические,,TBiSCh,T,,,"Фирма ""Manotherm Beierfeld GmbH"", Германия",2021-08-26T00:00:00Z,2016-32475-11.pdf
434,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,МКП 2 разряд набор № 9,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-08-26T00:00:00Z,2011-21163-11.pdf
435,70106-17,Трансформаторы тока,,ТОЛ-СВЗЛ-10М,ТОЛ-СВЭЛ,,,"ООО ""СВЭЛ - Силовые трансформаторы"", г.Екатеринбург",2021-08-27T00:00:00Z,2017-70106-17.pdf
436,57709-14,"Штангенциркули торговой марки ""Калиброн""",,с отсчетом по нониусу двусторонние с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-08-27T00:00:00Z,2014-57709-14.pdf
437,75708-19,Установки поверочные,,"ТЕСТ-РС-0200-0,005-B-C-OP-000-10/30",ТЕСТ-РС,,,"ООО ""ЛогоМасс"", г.Киров",2021-08-28T00:00:00Z,2019-75708-19.pdf
438,57709-14,"Штангенциркули торговой марки ""Калиброн""",,с отсчетом по нониусу односторонний,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-08-31T00:00:00Z,2014-57709-14.pdf
439,77307-20,Счетчики электрической энергии однофазные многофункциональные,,РОТЕК РТМ-01 C2D3Y-32Y20-O1IS,РОТЕК РТМ-01,,,"АО ""НПК РоТеК"", г.Москва",2021-09-01T00:00:00Z,2021-77307-20.pdf
440,70843-18,Уровнемеры импульсные радарные,,RB2-64N0-A0N-00-000,Pulsar R86 и Pulsar R96,,,"Фирма ""Magnetrol International n.v."", Бельгия; ООО ""Промсенсор"", г.Самара",2021-09-01T00:00:00Z,2018-70843-18.pdf
441,64199-16,Тепловычислители,,СПТ 944,СПТ944,,,"АО ""НПФ ""Логика"", г.С.-Петербург",2021-09-01T00:00:00Z,2016-64199-16-2.pdf
442,12156-12,Дозиметры,,НЕТ МОДИФИКАЦИИ,ДБГ-06Т,,,"ОАО ""Механический завод"", г.С.-Петербург",2021-09-01T00:00:00Z,2012-12156-12.pdf
443,23463-07,Расходомеры-счетчики электромагнитные,,кл.В,Омега-Р,,,"ООО НПП ""Омега Инжениринг"", г.Москва",2021-09-02T00:00:00Z,2018-23463-07-2.pdf
444,48026-11,Весы лабораторные,,Весы лабораторные ВК-600,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-09-02T00:00:00Z,2021-48026-11.pdf
445,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВ 3115,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-09-03T00:00:00Z,2008-27361-04.pdf
446,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ 90-5/20,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-09-03T00:00:00Z,2008-27361-04.pdf
447,54814-13,Штангенрейсмасы,,нет,"ШР, ШРК, ШРЦ",,,"ООО ""ГЦ Тулз"", г.Димитровград",2021-09-03T00:00:00Z,2013-54814-13.pdf
448,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,нет,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-09-03T00:00:00Z,2016-64541-16.pdf
449,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-09-03T00:00:00Z,2008-27361-04.pdf
450,49010-12,Счетчики электрической энергии трехфазные статические,,мод. РиМ 489.05,"РиМ 489.03, РиМ 489.04, РиМ 489.05, РиМ 489.06",,,"ЗАО ""Радио и Микроэлектроника"" (РиМ), г.Новосибирск",2021-09-03T00:00:00Z,2012-49010-12.pdf
451,21720-11,Омметры,,ЭСО212,ЭС0212,,,"ПАО ""Уманский завод ""Мегомметр"", Украина, г.Умань",2021-09-05T00:00:00Z,2011-21720-11.pdf
452,44121-10,Сигнализаторы загазованности природным газом,,СЗ-1-1ГТ,СЗ-1С,,,"ООО ""Центр Инновационных технологий-Плюс"" (ЦИТ-Плюс), г.Саратов",2021-09-06T00:00:00Z,2020-44121-10.pdf
453,55058-13,Уровнемеры радарные,,BM702,"BM70A, BM70M, BM70P, BM700, BM702",,,"Фирма ""KROHNE Messtechnik GmbH"", Германия",2021-09-06T00:00:00Z,2013-55058-13.pdf
454,56796-14,Весы неавтоматического действия,,HT-120,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2021-09-06T00:00:00Z,2014-56796-14.pdf
455,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,СЕ101,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2021-09-07T00:00:00Z,2018-30939-13.pdf
456,19245-00,Комплекты задатчиков давления,,КЗД-01,КЗД-01,,,"ФГУП ""Государственный Рязанский приборный завод"" (ГРПЗ), г.Рязань",2021-09-07T00:00:00Z,2010-19245-00.pdf
457,71339-18,Приборы для измерения артериального давления и частоты пульса,,B.Well PRO-33,"А-21, А-23, PRO-30, PRO-33, PRO-35, PRO-36, MED-51, MED-53, MED-55, А-27, PRO-39, MED-57, MED-59",,,"Фирма ""B.Well Swiss AG"", Швейцария; Фирма ""Globalcare Medical Technology Co., Ltd."", Китай",2021-09-07T00:00:00Z,2019-71339-18.pdf
458,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,скв,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-09-07T00:00:00Z,2008-27361-04.pdf
459,77307-20,Счетчики электрической энергии однофазные многофункциональные,,РОТЕК РТМ-01 D2D3Y-31Y20-O21IS,РОТЕК РТМ-01,,,"АО ""НПК РоТеК"", г.Москва",2021-09-07T00:00:00Z,2021-77307-20.pdf
